99	4851
5	64	12
5	65	9
5	66	7
5	67	8
5	68	7
5	69	7
5	70	7
5	71	7
5	72	7
5	73	8
5	74	7
5	75	7
5	76	8
5	77	7
5	78	10
5	79	9
5	80	7
5	81	7
5	82	9
5	83	7
5	84	10
5	85	13
5	86	6
5	87	8
5	88	8
5	89	7
5	90	7
5	91	7
5	92	8
5	93	8
5	94	7
5	95	7
5	96	9
5	97	6
5	98	7
6	7	15
6	8	16
6	9	16
6	10	16
6	11	15
6	12	16
6	13	16
6	14	17
6	15	16
6	16	15
6	17	16
6	18	16
6	19	16
6	20	17
6	21	17
6	22	16
6	23	15
6	24	15
6	25	14
6	26	15
6	27	12
6	28	17
6	29	16
6	30	17
6	31	16
6	32	16
6	33	17
6	34	17
6	35	15
6	36	16
6	37	17
6	38	17
6	39	15
6	40	17
6	41	14
6	42	13
6	43	16
6	44	9
6	45	9
6	46	7
6	47	8
6	48	7
6	49	8
6	50	7
6	51	8
6	52	7
6	53	8
6	54	8
6	55	8
6	56	8
6	57	9
6	58	8
6	59	8
6	60	7
6	61	8
6	62	7
6	63	12
6	64	12
6	65	10
6	66	8
6	67	9
6	68	8
6	69	7
6	70	8
6	71	7
6	72	8
6	73	8
6	74	7
6	75	7
6	76	9
6	77	7
6	78	11
6	79	10
6	80	7
6	81	7
6	82	9
6	83	8
6	84	11
6	85	13
6	86	7
6	87	8
6	88	8
6	89	8
6	90	8
6	91	7
6	92	8
6	93	8
6	94	8
6	95	8
6	96	9
6	97	7
6	98	7
7	8	16
7	9	16
7	10	16
7	11	15
7	12	16
7	13	16
7	14	16
7	15	16
7	16	14
7	17	16
7	18	16
7	19	16
7	20	17
7	21	17
7	22	16
7	23	15
7	24	14
7	25	14
7	26	15
7	27	12
7	28	16
7	29	16
7	30	16
7	31	16
7	32	16
7	33	16
7	34	17
7	35	16
7	36	16
7	37	16
7	38	16
7	39	15
7	40	17
7	41	14
7	42	13
7	43	15
7	44	8
7	45	8
7	46	6
7	47	8
7	48	6
7	49	8
7	50	6
7	51	8
7	52	7
7	53	7
7	54	7
7	55	8
7	56	7
7	57	9
7	58	7
7	59	7
7	60	6
7	61	7
7	62	7
7	63	11
7	64	12
7	65	9
7	66	7
7	67	9
7	68	7
7	69	7
7	70	8
7	71	7
7	72	7
7	73	8
7	74	7
7	75	7
7	76	8
7	77	7
7	78	10
7	79	9
7	80	6
7	81	6
7	82	9
7	83	7
7	84	10
7	85	13
7	86	6
7	87	8
7	88	7
7	89	7
7	90	7
7	91	7
7	92	8
7	93	8
7	94	7
7	95	7
7	96	9
7	97	6
7	98	7
8	9	17
8	10	16
8	11	15
8	12	16
8	13	16
8	14	17
8	15	17
8	16	15
8	17	16
8	18	16
8	19	16
8	20	17
8	21	17
8	22	17
8	23	16
8	24	16
8	25	15
8	26	16
8	27	15
8	28	16
8	29	17
8	30	17
8	31	17
8	32	17
8	33	17
8	34	17
8	35	17
8	36	17
8	37	17
8	38	17
8	39	16
8	40	18
8	41	15
8	42	13
8	43	16
8	44	11
8	45	11
8	46	9
8	47	10
8	48	9
8	49	10
8	50	9
8	51	10
8	52	10
8	53	10
8	54	10
8	55	11
8	56	10
8	57	11
8	58	10
8	59	10
8	60	9
8	61	10
8	62	9
8	63	14
8	64	14
8	65	12
8	66	10
8	67	11
8	68	10
8	69	10
8	70	10
8	71	10
8	72	10
8	73	11
8	74	10
8	75	9
8	76	11
8	77	9
8	78	13
8	79	12
8	80	9
8	81	9
8	82	12
8	83	9
8	84	13
8	85	15
8	86	9
8	87	10
8	88	10
8	89	10
8	90	10
8	91	10
8	92	11
8	93	11
8	94	10
8	95	10
8	96	11
8	97	9
8	98	9
9	10	16
9	11	15
9	12	16
9	13	17
9	14	17
9	15	17
9	16	16
9	17	16
9	18	17
9	19	16
9	20	17
9	21	17
9	22	17
9	23	16
9	24	16
9	25	16
9	26	16
9	27	14
9	28	17
9	29	16
9	30	17
9	31	17
9	32	17
9	33	17
9	34	17
9	35	17
9	36	17
9	37	17
9	38	17
9	39	15
9	40	17
9	41	16
9	42	14
9	43	15
9	44	10
9	45	10
9	46	9
9	47	10
9	48	9
9	49	9
9	50	8
9	51	10
9	52	9
9	53	9
9	54	9
9	55	9
9	56	9
9	57	11
9	58	9
9	59	10
9	60	8
9	61	9
9	62	9
9	63	13
9	64	13
9	65	12
9	66	9
9	67	11
9	68	9
9	69	9
9	70	9
9	71	9
9	72	10
9	73	9
9	74	9
9	75	9
9	76	10
9	77	9
9	78	12
9	79	10
9	80	8
9	81	9
9	82	11
9	83	9
9	84	12
9	85	13
9	86	8
9	87	9
9	88	10
9	89	9
9	90	9
9	91	9
9	92	10
9	93	10
9	94	9
9	95	10
9	96	11
9	97	8
9	98	8
10	11	17
10	12	18
10	13	18
10	14	18
10	15	17
10	16	16
10	17	18
10	18	18
10	19	18
10	20	18
10	21	18
10	22	17
10	23	17
10	24	15
10	25	15
10	26	16
10	27	12
10	28	18
10	29	17
10	30	18
10	31	18
10	32	18
10	33	18
10	34	19
10	35	17
10	36	19
10	37	18
10	38	18
10	39	17
10	40	17
10	41	16
10	42	14
10	43	17
10	44	8
10	45	8
10	46	6
10	47	8
10	48	6
10	49	7
10	50	6
10	51	8
10	52	7
10	53	7
10	54	7
10	55	8
10	56	7
10	57	9
10	58	7
10	59	8
10	60	6
10	61	7
10	62	7
10	63	11
10	64	12
10	65	10
10	66	7
10	67	8
10	68	8
10	69	7
10	70	8
10	71	7
10	72	7
10	73	8
10	74	7
10	75	7
10	76	8
10	77	7
10	78	11
10	79	9
10	80	6
10	81	6
10	82	9
10	83	7
10	84	11
10	85	13
10	86	6
10	87	8
10	88	8
10	89	7
10	90	7
10	91	7
10	92	8
10	93	8
10	94	7
10	95	7
10	96	9
10	97	6
10	98	7
11	12	16
11	13	17
11	14	16
11	15	15
11	16	15
11	17	16
11	18	16
11	19	16
11	20	17
11	21	17
11	22	16
11	23	15
11	24	14
11	25	14
11	26	15
11	27	11
11	28	16
11	29	15
11	30	16
11	31	16
11	32	16
11	33	16
11	34	16
11	35	15
11	36	16
11	37	16
11	38	16
11	39	15
11	40	16
11	41	14
11	42	12
11	43	15
11	44	8
11	45	9
11	46	6
11	47	8
11	48	6
11	49	7
11	50	7
11	51	8
11	52	7
11	53	7
11	54	7
11	55	8
11	56	8
11	57	9
11	58	8
11	59	8
11	60	6
11	61	7
11	62	7
11	63	11
11	64	11
11	65	9
11	66	8
11	67	8
11	68	8
11	69	7
11	70	7
11	71	7
11	72	8
11	73	8
11	74	7
11	75	7
11	76	8
11	77	6
11	78	10
11	79	9
11	80	6
11	81	6
11	82	9
11	83	7
11	84	11
11	85	12
11	86	6
11	87	8
11	88	8
11	89	7
11	90	7
11	91	7
11	92	8
11	93	8
11	94	8
11	95	7
11	96	9
11	97	7
11	98	7
12	13	19
12	14	18
12	15	17
12	16	15
12	17	18
12	18	18
12	19	18
12	20	18
12	21	18
12	22	17
12	23	18
12	24	15
12	25	16
12	26	17
12	27	12
12	28	18
12	29	17
12	30	18
12	31	18
12	32	17
12	33	18
12	34	18
12	35	17
12	36	19
12	37	18
12	38	18
12	39	17
12	40	17
12	41	16
12	42	14
12	43	17
12	44	8
12	45	8
12	46	6
12	47	7
12	48	6
12	49	7
12	50	6
12	51	7
12	52	7
12	53	7
12	54	7
12	55	7
12	56	7
12	57	8
12	58	7
12	59	7
12	60	6
12	61	7
12	62	6
12	63	11
12	64	12
12	65	9
12	66	7
12	67	8
12	68	7
12	69	7
12	70	7
12	71	6
12	72	7
12	73	7
12	74	6
12	75	7
12	76	8
12	77	6
12	78	10
12	79	8
12	80	6
12	81	6
12	82	9
12	83	7
12	84	11
12	85	13
12	86	6
12	87	7
12	88	8
12	89	7
12	90	7
12	91	6
12	92	8
12	93	8
12	94	7
12	95	7
12	96	8
12	97	6
12	98	6
13	14	19
13	15	18
13	16	16
13	17	19
13	18	18
13	19	18
13	20	19
13	21	19
13	22	18
13	23	18
13	24	16
13	25	16
13	26	17
13	27	12
13	28	19
13	29	18
13	30	19
13	31	18
13	32	18
13	33	18
13	34	19
13	35	17
13	36	19
13	37	19
13	38	19
13	39	17
13	40	18
13	41	16
13	42	14
13	43	17
13	44	8
13	45	8
13	46	6
13	47	7
13	48	6
13	49	7
13	50	7
13	51	7
13	52	7
13	53	7
13	54	7
13	55	7
13	56	7
13	57	9
13	58	7
13	59	7
13	60	6
13	61	7
13	62	7
13	63	12
13	64	12
13	65	10
13	66	7
13	67	9
13	68	7
13	69	7
13	70	7
13	71	7
13	72	7
13	73	7
13	74	7
13	75	7
13	76	8
13	77	6
13	78	11
13	79	9
13	80	6
13	81	6
13	82	9
13	83	7
13	84	11
13	85	13
13	86	6
13	87	7
13	88	8
13	89	7
13	90	7
13	91	7
13	92	8
13	93	8
13	94	7
13	95	7
13	96	8
13	97	6
13	98	7
14	15	18
14	16	16
14	17	18
14	18	18
14	19	18
14	20	18
14	21	18
14	22	18
14	23	18
14	24	16
14	25	16
14	26	17
14	27	12
14	28	18
14	29	17
14	30	18
14	31	18
14	32	18
14	33	18
14	34	19
14	35	17
14	36	18
14	37	19
14	38	18
14	39	17
14	40	18
14	41	16
14	42	14
14	43	17
14	44	8
14	45	8
14	46	7
14	47	7
14	48	7
14	49	7
14	50	7
14	51	8
14	52	7
14	53	7
14	54	8
14	55	8
14	56	7
14	57	9
14	58	8
14	59	8
14	60	6
14	61	7
14	62	7
14	63	12
14	64	12
14	65	10
14	66	8
14	67	9
14	68	7
14	69	7
14	70	8
14	71	7
14	72	7
14	73	8
14	74	7
14	75	7
14	76	8
14	77	7
14	78	11
14	79	9
14	80	7
14	81	7
14	82	9
14	83	7
14	84	11
14	85	13
14	86	6
14	87	8
14	88	8
14	89	8
14	90	7
14	91	7
14	92	8
14	93	8
14	94	7
14	95	8
14	96	9
14	97	7
14	98	7
15	16	16
15	17	17
15	18	17
15	19	17
15	20	18
15	21	18
15	22	18
15	23	17
15	24	16
15	25	16
15	26	17
15	27	13
15	28	17
15	29	17
15	30	18
15	31	18
15	32	18
15	33	18
15	34	18
15	35	17
15	36	17
15	37	17
15	38	17
15	39	17
15	40	18
15	41	15
15	42	14
15	43	16
15	44	9
15	45	9
15	46	8
15	47	8
15	48	8
15	49	8
15	50	7
15	51	8
15	52	8
15	53	8
15	54	8
15	55	9
15	56	8
15	57	10
15	58	8
15	59	8
15	60	7
15	61	8
15	62	8
15	63	12
15	64	13
15	65	10
15	66	8
15	67	10
15	68	8
15	69	8
15	70	9
15	71	8
15	72	8
15	73	8
15	74	7
15	75	8
15	76	9
15	77	8
15	78	12
15	79	10
15	80	8
15	81	8
15	82	10
15	83	8
15	84	11
15	85	13
15	86	7
15	87	9
15	88	9
15	89	8
15	90	8
15	91	8
15	92	9
15	93	8
15	94	8
15	95	8
15	96	9
15	97	7
15	98	8
16	17	15
16	18	16
16	19	16
16	20	16
16	21	16
16	22	16
16	23	15
16	24	16
16	25	15
16	26	16
16	27	14
16	28	16
16	29	16
16	30	17
16	31	16
16	32	16
16	33	15
16	34	16
16	35	16
16	36	16
16	37	16
16	38	16
16	39	15
16	40	16
16	41	15
16	42	13
16	43	15
16	44	11
16	45	11
16	46	9
16	47	10
16	48	9
16	49	9
16	50	9
16	51	10
16	52	10
16	53	10
16	54	10
16	55	10
16	56	10
16	57	11
16	58	10
16	59	10
16	60	9
16	61	10
16	62	10
16	63	13
16	64	13
16	65	11
16	66	10
16	67	11
16	68	10
16	69	9
16	70	10
16	71	9
16	72	10
16	73	10
16	74	9
16	75	9
16	76	11
16	77	9
16	78	12
16	79	11
16	80	9
16	81	9
16	82	11
16	83	10
16	84	13
16	85	13
16	86	9
16	87	10
16	88	10
16	89	10
16	90	10
16	91	10
16	92	11
16	93	10
16	94	10
16	95	10
16	96	11
16	97	9
16	98	9
17	18	18
17	19	18
17	20	19
17	21	18
17	22	18
17	23	17
17	24	15
17	25	15
17	26	17
17	27	11
17	28	19
17	29	17
17	30	18
17	31	18
17	32	18
17	33	18
17	34	19
17	35	17
17	36	19
17	37	18
17	38	18
17	39	17
17	40	17
17	41	16
17	42	14
17	43	17
17	44	7
17	45	8
17	46	6
17	47	7
17	48	6
17	49	7
17	50	6
17	51	7
17	52	6
17	53	6
17	54	7
17	55	7
17	56	7
17	57	8
17	58	7
17	59	7
17	60	6
17	61	6
17	62	6
17	63	11
17	64	12
17	65	9
17	66	7
17	67	8
17	68	7
17	69	6
17	70	7
17	71	6
17	72	7
17	73	7
17	74	7
17	75	6
17	76	7
17	77	6
17	78	10
17	79	8
17	80	6
17	81	6
17	82	9
17	83	6
17	84	11
17	85	13
17	86	5
17	87	7
17	88	7
17	89	7
17	90	7
17	91	6
17	92	7
17	93	7
17	94	7
17	95	7
17	96	8
17	97	6
17	98	6
18	19	17
18	20	18
18	21	18
18	22	18
18	23	17
18	24	15
18	25	15
18	26	16
18	27	12
18	28	18
18	29	17
18	30	18
18	31	18
18	32	18
18	33	18
18	34	18
18	35	16
18	36	18
18	37	18
18	38	18
18	39	17
18	40	18
18	41	15
18	42	14
18	43	17
18	44	8
18	45	8
18	46	6
18	47	7
18	48	6
18	49	7
18	50	6
18	51	8
18	52	7
18	53	7
18	54	7
18	55	7
18	56	7
18	57	9
18	58	7
18	59	7
18	60	6
18	61	7
18	62	7
18	63	11
18	64	12
18	65	9
18	66	7
18	67	8
18	68	7
18	69	6
18	70	7
18	71	6
18	72	7
18	73	7
18	74	7
18	75	7
18	76	8
18	77	7
18	78	11
18	79	9
18	80	6
18	81	6
18	82	9
18	83	7
18	84	11
18	85	13
18	86	6
18	87	8
18	88	8
18	89	7
18	90	7
18	91	7
18	92	8
18	93	8
18	94	7
18	95	7
18	96	9
18	97	6
18	98	7
19	20	18
19	21	18
19	22	18
19	23	17
19	24	15
19	25	16
19	26	17
19	27	12
19	28	18
19	29	17
19	30	18
19	31	18
19	32	18
19	33	17
19	34	18
19	35	17
19	36	18
19	37	17
19	38	18
19	39	17
19	40	17
19	41	16
19	42	14
19	43	17
19	44	8
19	45	8
19	46	6
19	47	8
19	48	6
19	49	7
19	50	7
19	51	8
19	52	7
19	53	7
19	54	7
19	55	8
19	56	7
19	57	9
19	58	7
19	59	8
19	60	6
19	61	7
19	62	7
19	63	12
19	64	12
19	65	10
19	66	8
19	67	8
19	68	7
19	69	7
19	70	7
19	71	7
19	72	7
19	73	8
19	74	7
19	75	7
19	76	8
19	77	7
19	78	11
19	79	9
19	80	6
19	81	6
19	82	9
19	83	7
19	84	11
19	85	13
19	86	6
19	87	7
19	88	8
19	89	7
19	90	7
19	91	7
19	92	8
19	93	8
19	94	7
19	95	7
19	96	9
19	97	6
19	98	6
20	21	19
20	22	18
20	23	18
20	24	16
20	25	16
20	26	17
20	27	12
20	28	19
20	29	17
20	30	19
20	31	18
20	32	19
20	33	18
20	34	20
20	35	17
20	36	19
20	37	18
20	38	19
20	39	17
20	40	18
20	41	16
20	42	14
20	43	17
20	44	8
20	45	8
20	46	6
20	47	8
20	48	6
20	49	7
20	50	7
20	51	8
20	52	7
20	53	7
20	54	7
20	55	8
20	56	7
20	57	9
20	58	7
20	59	8
20	60	6
20	61	7
20	62	7
20	63	12
20	64	12
20	65	10
20	66	8
20	67	9
20	68	8
20	69	7
20	70	7
20	71	7
20	72	7
20	73	8
20	74	7
20	75	7
20	76	8
20	77	6
20	78	11
20	79	9
20	80	6
20	81	6
20	82	9
20	83	7
20	84	11
20	85	13
20	86	6
20	87	7
20	88	8
20	89	7
20	90	7
20	91	7
20	92	8
20	93	8
20	94	7
20	95	7
20	96	9
20	97	6
20	98	6
21	22	19
21	23	18
21	24	16
21	25	16
21	26	17
21	27	13
21	28	18
21	29	18
21	30	19
21	31	18
21	32	18
21	33	19
21	34	19
21	35	17
21	36	19
21	37	18
21	38	19
21	39	18
21	40	18
21	41	16
21	42	14
21	43	17
21	44	8
21	45	9
21	46	7
21	47	8
21	48	7
21	49	7
21	50	7
21	51	8
21	52	7
21	53	7
21	54	8
21	55	8
21	56	8
21	57	9
21	58	8
21	59	8
21	60	6
21	61	7
21	62	7
21	63	12
21	64	12
21	65	10
21	66	8
21	67	9
21	68	8
21	69	7
21	70	8
21	71	7
21	72	8
21	73	8
21	74	7
21	75	7
21	76	8
21	77	7
21	78	11
21	79	9
21	80	7
21	81	7
21	82	9
21	83	7
21	84	11
21	85	13
21	86	6
21	87	8
21	88	8
21	89	8
21	90	8
21	91	7
21	92	8
21	93	8
21	94	8
21	95	8
21	96	9
21	97	7
21	98	7
22	23	18
22	24	16
22	25	16
22	26	17
22	27	13
22	28	18
22	29	17
22	30	18
22	31	18
22	32	18
22	33	18
22	34	18
22	35	18
22	36	18
22	37	18
22	38	18
22	39	17
22	40	18
22	41	16
22	42	14
22	43	16
22	44	8
22	45	9
22	46	7
22	47	8
22	48	7
22	49	8
22	50	7
22	51	8
22	52	8
22	53	8
22	54	8
22	55	8
22	56	8
22	57	9
22	58	8
22	59	8
22	60	7
22	61	8
22	62	8
22	63	12
22	64	13
22	65	10
22	66	8
22	67	10
22	68	8
22	69	8
22	70	8
22	71	8
22	72	8
22	73	8
22	74	7
22	75	8
22	76	9
22	77	8
22	78	11
22	79	10
22	80	7
22	81	8
22	82	10
22	83	8
22	84	11
22	85	13
22	86	7
22	87	8
22	88	9
22	89	8
22	90	8
22	91	8
22	92	9
22	93	8
22	94	8
22	95	8
22	96	9
22	97	7
22	98	8
23	24	15
23	25	15
23	26	16
23	27	12
23	28	17
23	29	16
23	30	17
23	31	17
23	32	17
23	33	17
23	34	18
23	35	17
23	36	18
23	37	17
23	38	17
23	39	17
23	40	17
23	41	16
23	42	13
23	43	16
23	44	8
23	45	8
23	46	6
23	47	7
23	48	6
23	49	7
23	50	6
23	51	7
23	52	7
23	53	7
23	54	7
23	55	8
23	56	7
23	57	9
23	58	7
23	59	7
23	60	6
23	61	7
23	62	7
23	63	11
23	64	12
23	65	10
23	66	7
23	67	9
23	68	8
23	69	7
23	70	8
23	71	7
23	72	8
23	73	8
23	74	7
23	75	7
23	76	8
23	77	7
23	78	11
23	79	9
23	80	6
23	81	6
23	82	9
23	83	7
23	84	11
23	85	12
23	86	6
23	87	7
23	88	8
23	89	7
23	90	7
23	91	7
23	92	8
23	93	8
23	94	7
23	95	7
23	96	9
23	97	6
23	98	7
24	25	16
24	26	16
24	27	14
24	28	15
24	29	16
24	30	16
24	31	16
24	32	16
24	33	15
24	34	16
24	35	17
24	36	16
24	37	16
24	38	16
24	39	15
24	40	16
24	41	15
24	42	13
24	43	15
24	44	10
24	45	11
24	46	9
24	47	10
24	48	8
24	49	8
24	50	9
24	51	10
24	52	9
24	53	9
24	54	10
24	55	10
24	56	10
24	57	11
24	58	10
24	59	10
24	60	9
24	61	9
24	62	9
24	63	13
24	64	13
24	65	12
24	66	10
24	67	11
24	68	10
24	69	9
24	70	10
24	71	9
24	72	10
24	73	10
24	74	8
24	75	8
24	76	10
24	77	9
24	78	12
24	79	11
24	80	8
24	81	9
24	82	11
24	83	9
24	84	12
24	85	13
24	86	8
24	87	9
24	88	10
24	89	10
24	90	10
24	91	9
24	92	10
24	93	10
24	94	10
24	95	10
24	96	11
24	97	9
24	98	9
25	26	18
25	27	14
25	28	15
25	29	16
25	30	16
25	31	16
25	32	16
25	33	16
25	34	16
25	35	17
25	36	16
25	37	16
25	38	16
25	39	15
25	40	16
25	41	16
25	42	13
25	43	15
25	44	10
25	45	10
25	46	9
25	47	10
25	48	9
25	49	8
25	50	9
25	51	9
25	52	10
25	53	9
25	54	10
25	55	10
25	56	10
25	57	10
25	58	10
25	59	10
25	60	9
25	61	10
25	62	9
25	63	13
25	64	13
25	65	12
25	66	10
25	67	11
25	68	10
25	69	9
25	70	10
25	71	9
25	72	10
25	73	10
25	74	9
25	75	9
25	76	10
25	77	9
25	78	12
25	79	11
25	80	9
25	81	9
25	82	11
25	83	9
25	84	12
25	85	13
25	86	9
25	87	9
25	88	10
25	89	10
25	90	10
25	91	9
25	92	10
25	93	10
25	94	10
25	95	9
25	96	10
25	97	9
25	98	9
26	27	14
26	28	17
26	29	17
26	30	17
26	31	17
26	32	17
26	33	17
26	34	17
26	35	17
26	36	17
26	37	16
26	38	17
26	39	16
26	40	17
26	41	17
26	42	14
26	43	16
26	44	9
26	45	9
26	46	8
26	47	9
26	48	8
26	49	7
26	50	8
26	51	8
26	52	9
26	53	8
26	54	9
26	55	9
26	56	9
26	57	9
26	58	8
26	59	9
26	60	8
26	61	8
26	62	8
26	63	12
26	64	12
26	65	11
26	66	9
26	67	10
26	68	9
26	69	8
26	70	9
26	71	8
26	72	9
26	73	8
26	74	8
26	75	8
26	76	9
26	77	8
26	78	11
26	79	10
26	80	8
26	81	8
26	82	10
26	83	9
26	84	11
26	85	12
26	86	8
26	87	8
26	88	10
26	89	9
26	90	9
26	91	8
26	92	9
26	93	9
26	94	9
26	95	9
26	96	9
26	97	8
26	98	8
27	28	11
27	29	13
27	30	13
27	31	13
27	32	13
27	33	12
27	34	12
27	35	14
27	36	12
27	37	13
27	38	13
27	39	11
27	40	14
27	41	14
27	42	10
27	43	12
27	44	14
27	45	14
27	46	14
27	47	15
27	48	14
27	49	12
27	50	14
27	51	13
27	52	14
27	53	15
27	54	15
27	55	14
27	56	15
27	57	14
27	58	14
27	59	15
27	60	14
27	61	14
27	62	14
27	63	15
